 time            v(inp)          v(out)         
 0.00000000e+00  6.00000000e-01  5.99885466e-01 
 1.10000000e-11  6.00000000e-01  5.99885466e-01 
 2.20000000e-11  6.00000000e-01  5.99885466e-01 
 4.40000000e-11  6.00000000e-01  5.99885466e-01 
 8.80000000e-11  6.00000000e-01  5.99885466e-01 
 1.76000000e-10  6.00000000e-01  5.99885466e-01 
 3.52000000e-10  6.00000000e-01  5.99885466e-01 
 7.04000000e-10  6.00000000e-01  5.99885466e-01 
 1.40800000e-09  6.00000000e-01  5.99885466e-01 
 2.50800000e-09  6.00000000e-01  5.99885466e-01 
 3.60800000e-09  6.00000000e-01  5.99885466e-01 
 4.70800000e-09  6.00000000e-01  5.99885466e-01 
 5.80800000e-09  6.00000000e-01  5.99885466e-01 
 6.90800000e-09  6.00000000e-01  5.99885466e-01 
 8.00800000e-09  6.00000000e-01  5.99885466e-01 
 9.10800000e-09  6.00000000e-01  5.99885466e-01 
 1.02080000e-08  6.00000000e-01  5.99885466e-01 
 1.13080000e-08  6.00000000e-01  5.99885466e-01 
 1.24080000e-08  6.00000000e-01  5.99885466e-01 
 1.35080000e-08  6.00000000e-01  5.99885466e-01 
 1.46080000e-08  6.00000000e-01  5.99885466e-01 
 1.57080000e-08  6.00000000e-01  5.99885466e-01 
 1.68080000e-08  6.00000000e-01  5.99885466e-01 
 1.79080000e-08  6.00000000e-01  5.99885466e-01 
 1.90080000e-08  6.00000000e-01  5.99885466e-01 
 2.01080000e-08  6.00000000e-01  5.99885466e-01 
 2.12080000e-08  6.00000000e-01  5.99885466e-01 
 2.23080000e-08  6.00000000e-01  5.99885466e-01 
 2.34080000e-08  6.00000000e-01  5.99885466e-01 
 2.45080000e-08  6.00000000e-01  5.99885466e-01 
 2.56080000e-08  6.00000000e-01  5.99885466e-01 
 2.67080000e-08  6.00000000e-01  5.99885466e-01 
 2.78080000e-08  6.00000000e-01  5.99885466e-01 
 2.89080000e-08  6.00000000e-01  5.99885466e-01 
 3.00080000e-08  6.00000000e-01  5.99885466e-01 
 3.11080000e-08  6.00000000e-01  5.99885466e-01 
 3.22080000e-08  6.00000000e-01  5.99885466e-01 
 3.33080000e-08  6.00000000e-01  5.99885466e-01 
 3.44080000e-08  6.00000000e-01  5.99885466e-01 
